"","gene_symbol","accession","description","fasta_title_lines","ensembl_gene_id"
"1","Ttn","A2ASS6","Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1",">sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","ENSMUSG00000051747"
"8401","Fam186a","K3W4Q5","Family with sequence similarity 186, member A OS=Mus musculus OX=10090 GN=Fam186a PE=4 SV=1",">tr|K3W4Q5|K3W4Q5_MOUSE Family with sequence similarity 186, member A OS=Mus musculus OX=10090 GN=Fam186a PE=4 SV=1","ENSMUSG00000045350"
"8402","Taf1b","P97358","TATA box-binding protein-associated factor RNA polymerase I subunit B OS=Mus musculus OX=10090 GN=Taf1b PE=1 SV=2",">sp|P97358|TAF1B_MOUSE TATA box-binding protein-associated factor RNA polymerase I subunit B OS=Mus musculus OX=10090 GN=Taf1b PE=1 SV=2","ENSMUSG00000059669"
"8403","Nkd2","Q8VE28","Protein naked cuticle homolog 2 OS=Mus musculus OX=10090 GN=Nkd2 PE=1 SV=2",">sp|Q8VE28|NKD2_MOUSE Protein naked cuticle homolog 2 OS=Mus musculus OX=10090 GN=Nkd2 PE=1 SV=2","ENSMUSG00000021567"
"8404","Pik3cg","Q9JHG7","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform OS=Mus musculus OX=10090 GN=Pik3cg PE=1 SV=2",">sp|Q9JHG7|PK3CG_MOUSE Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform OS=Mus musculus OX=10090 GN=Pik3cg PE=1 SV=2","ENSMUSG00000020573"
"8405","Idua","D6RIN7","Alpha-L-iduronidase OS=Mus musculus OX=10090 GN=Idua PE=1 SV=2",">tr|D6RIN7|D6RIN7_MOUSE Alpha-L-iduronidase OS=Mus musculus OX=10090 GN=Idua PE=1 SV=2","ENSMUSG00000033540"
"8406","Lrig1","P70193","Leucine-rich repeats and immunoglobulin-like domains protein 1 OS=Mus musculus OX=10090 GN=Lrig1 PE=1 SV=2",">sp|P70193|LRIG1_MOUSE Leucine-rich repeats and immunoglobulin-like domains protein 1 OS=Mus musculus OX=10090 GN=Lrig1 PE=1 SV=2","ENSMUSG00000030029"
"8407","Tspan14","Q8QZY6","Tetraspanin-14 OS=Mus musculus OX=10090 GN=Tspan14 PE=1 SV=1",">sp|Q8QZY6|TSN14_MOUSE Tetraspanin-14 OS=Mus musculus OX=10090 GN=Tspan14 PE=1 SV=1","ENSMUSG00000037824"
"8408","Pcgf1","H3BK85","Polycomb group RING finger protein 1 OS=Mus musculus OX=10090 GN=Pcgf1 PE=1 SV=1",">tr|H3BK85|H3BK85_MOUSE Polycomb group RING finger protein 1 OS=Mus musculus OX=10090 GN=Pcgf1 PE=1 SV=1","ENSMUSG00000069678"
"8409","Tonsl","G3UW83","NF-kappa-B inhibitor-like protein 2 OS=Mus musculus OX=10090 GN=Tonsl PE=1 SV=1",">tr|G3UW83|G3UW83_MOUSE NF-kappa-B inhibitor-like protein 2 OS=Mus musculus OX=10090 GN=Tonsl PE=1 SV=1","ENSMUSG00000059323"
"8410","Kcnab2","A0A571BGH0","K(+) channel subunit beta-2 OS=Mus musculus OX=10090 GN=Kcnab2 PE=1 SV=1",">tr|A0A571BGH0|A0A571BGH0_MOUSE K(+) channel subunit beta-2 OS=Mus musculus OX=10090 GN=Kcnab2 PE=1 SV=1","ENSMUSG00000028931"
"8411","Rbm45","Q8BHN5","RNA-binding protein 45 OS=Mus musculus OX=10090 GN=Rbm45 PE=1 SV=1",">sp|Q8BHN5|RBM45_MOUSE RNA-binding protein 45 OS=Mus musculus OX=10090 GN=Rbm45 PE=1 SV=1","ENSMUSG00000042369"
"8412","Mbip","A0A1W2P7F0","MAP3K12-binding inhibitory protein 1 OS=Mus musculus OX=10090 GN=Mbip PE=1 SV=1",">tr|A0A1W2P7F0|A0A1W2P7F0_MOUSE MAP3K12-binding inhibitory protein 1 OS=Mus musculus OX=10090 GN=Mbip PE=1 SV=1","ENSMUSG00000021028"
"8413","Snx33","Q4VAA7","Sorting nexin-33 OS=Mus musculus OX=10090 GN=Snx33 PE=1 SV=1",">sp|Q4VAA7|SNX33_MOUSE Sorting nexin-33 OS=Mus musculus OX=10090 GN=Snx33 PE=1 SV=1","ENSMUSG00000032733"
"8414","Pid1","Q3UBG2","PTB-containing, cubilin and LRP1-interacting protein OS=Mus musculus OX=10090 GN=Pid1 PE=1 SV=2",">sp|Q3UBG2|PCLI1_MOUSE PTB-containing, cubilin and LRP1-interacting protein OS=Mus musculus OX=10090 GN=Pid1 PE=1 SV=2","ENSMUSG00000045658"
"8415","Rhd","A0A0R4J0A2","Blood group Rh(D) polypeptide OS=Mus musculus OX=10090 GN=Rhd PE=1 SV=1",">tr|A0A0R4J0A2|A0A0R4J0A2_MOUSE Blood group Rh(D) polypeptide OS=Mus musculus OX=10090 GN=Rhd PE=1 SV=1","ENSMUSG00000028825"
"8416","Wbp1l","Q8BGW2","WW domain binding protein 1-like OS=Mus musculus OX=10090 GN=Wbp1l PE=2 SV=1",">sp|Q8BGW2|WBP1L_MOUSE WW domain binding protein 1-like OS=Mus musculus OX=10090 GN=Wbp1l PE=2 SV=1","ENSMUSG00000047731"
"8417","Cadps2","Q8BYR5","Calcium-dependent secretion activator 2 OS=Mus musculus OX=10090 GN=Cadps2 PE=1 SV=2",">sp|Q8BYR5|CAPS2_MOUSE Calcium-dependent secretion activator 2 OS=Mus musculus OX=10090 GN=Cadps2 PE=1 SV=2","ENSMUSG00000017978"
"8418","Trub1","Q8C0D0","Probable tRNA pseudouridine synthase 1 OS=Mus musculus OX=10090 GN=Trub1 PE=1 SV=1",">sp|Q8C0D0|TRUB1_MOUSE Probable tRNA pseudouridine synthase 1 OS=Mus musculus OX=10090 GN=Trub1 PE=1 SV=1","ENSMUSG00000025086"
"8419","Fsip2l","A2AF73","Fibrous sheath-interacting protein 2-like OS=Mus musculus OX=10090 GN=Fsip2l PE=4 SV=1",">tr|A2AF73|A2AF73_MOUSE Fibrous sheath-interacting protein 2-like OS=Mus musculus OX=10090 GN=Fsip2l PE=4 SV=1","ENSMUSG00000079606"
"8420","Kbtbd2","G3X9X1","Kelch repeat and BTB (POZ) domain-containing 2 OS=Mus musculus OX=10090 GN=Kbtbd2 PE=1 SV=1",">tr|G3X9X1|G3X9X1_MOUSE Kelch repeat and BTB (POZ) domain-containing 2 OS=Mus musculus OX=10090 GN=Kbtbd2 PE=1 SV=1","ENSMUSG00000059486"
"8421","Litaf","Q9JLJ0","Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog OS=Mus musculus OX=10090 GN=Litaf PE=1 SV=1",">sp|Q9JLJ0|LITAF_MOUSE Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog OS=Mus musculus OX=10090 GN=Litaf PE=1 SV=1","ENSMUSG00000022500"
"8422","Hmmr","Q00547","Hyaluronan mediated motility receptor OS=Mus musculus OX=10090 GN=Hmmr PE=1 SV=4",">sp|Q00547|HMMR_MOUSE Hyaluronan mediated motility receptor OS=Mus musculus OX=10090 GN=Hmmr PE=1 SV=4","ENSMUSG00000020330"
"8423","Iqce","Q6PCQ0","IQ domain-containing protein E OS=Mus musculus OX=10090 GN=Iqce PE=1 SV=1",">sp|Q6PCQ0|IQCE_MOUSE IQ domain-containing protein E OS=Mus musculus OX=10090 GN=Iqce PE=1 SV=1","ENSMUSG00000036555"
"8424","Nlrp4f","Q66X05","NACHT, LRR and PYD domains-containing protein 4F OS=Mus musculus OX=10090 GN=Nlrp4f PE=1 SV=1",">sp|Q66X05|NAL4F_MOUSE NACHT, LRR and PYD domains-containing protein 4F OS=Mus musculus OX=10090 GN=Nlrp4f PE=1 SV=1",""
"8425","Herpud2","Q9JJC9","Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein OS=Mus musculus OX=10090 GN=Herpud2 PE=2 SV=1",">sp|Q9JJC9|HERP2_MOUSE Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein OS=Mus musculus OX=10090 GN=Herpud2 PE=2 SV=1","ENSMUSG00000008429"
"8426","Dscam","Q9ERC8","Down syndrome cell adhesion molecule homolog OS=Mus musculus OX=10090 GN=Dscam PE=1 SV=1",">sp|Q9ERC8|DSCAM_MOUSE Down syndrome cell adhesion molecule homolog OS=Mus musculus OX=10090 GN=Dscam PE=1 SV=1","ENSMUSG00000050272"
"8427","Gdap1","O88741","Ganglioside-induced differentiation-associated protein 1 OS=Mus musculus OX=10090 GN=Gdap1 PE=1 SV=1",">sp|O88741|GDAP1_MOUSE Ganglioside-induced differentiation-associated protein 1 OS=Mus musculus OX=10090 GN=Gdap1 PE=1 SV=1","ENSMUSG00000025777"
"8428","Keap1","Q9Z2X8","Kelch-like ECH-associated protein 1 OS=Mus musculus OX=10090 GN=Keap1 PE=1 SV=1",">sp|Q9Z2X8|KEAP1_MOUSE Kelch-like ECH-associated protein 1 OS=Mus musculus OX=10090 GN=Keap1 PE=1 SV=1","ENSMUSG00000003308"
"8429","Spidr","Q8BGX7","DNA repair-scaffolding protein OS=Mus musculus OX=10090 GN=Spidr PE=2 SV=1",">sp|Q8BGX7|SPIDR_MOUSE DNA repair-scaffolding protein OS=Mus musculus OX=10090 GN=Spidr PE=2 SV=1","ENSMUSG00000041974"
"8430","Magi2","A0A0G2JEG6","Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Mus musculus OX=10090 GN=Magi2 PE=1 SV=1",">tr|A0A0G2JEG6|A0A0G2JEG6_MOUSE Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Mus musculus OX=10090 GN=Magi2 PE=1 SV=1","ENSMUSG00000040003"
"8431","Klrb1b","A0A0N4SV58","Killer cell lectin-like receptor subfamily B member 1B allele B OS=Mus musculus OX=10090 GN=Klrb1b PE=4 SV=1",">tr|A0A0N4SV58|A0A0N4SV58_MOUSE Killer cell lectin-like receptor subfamily B member 1B allele B OS=Mus musculus OX=10090 GN=Klrb1b PE=4 SV=1","ENSMUSG00000079298"
"8432","Eps8l3","Q91WL0","Epidermal growth factor receptor kinase substrate 8-like protein 3 OS=Mus musculus OX=10090 GN=Eps8l3 PE=2 SV=1",">sp|Q91WL0|ES8L3_MOUSE Epidermal growth factor receptor kinase substrate 8-like protein 3 OS=Mus musculus OX=10090 GN=Eps8l3 PE=2 SV=1","ENSMUSG00000040600"
"8433","Adam2","Q60718","Disintegrin and metalloproteinase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Adam2 PE=1 SV=2",">sp|Q60718|ADAM2_MOUSE Disintegrin and metalloproteinase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Adam2 PE=1 SV=2","ENSMUSG00000022039"
"8434","Cdh20","Q9Z0M3","Cadherin-20 OS=Mus musculus OX=10090 GN=Cdh20 PE=2 SV=1",">sp|Q9Z0M3|CAD20_MOUSE Cadherin-20 OS=Mus musculus OX=10090 GN=Cdh20 PE=2 SV=1","ENSMUSG00000050840"
"8435","Fam135a","Q6NS59","Protein FAM135A OS=Mus musculus OX=10090 GN=Fam135a PE=1 SV=2",">sp|Q6NS59|F135A_MOUSE Protein FAM135A OS=Mus musculus OX=10090 GN=Fam135a PE=1 SV=2","ENSMUSG00000026153"
"8436","Syngr2","O55101","Synaptogyrin-2 OS=Mus musculus OX=10090 GN=Syngr2 PE=2 SV=1",">sp|O55101|SNG2_MOUSE Synaptogyrin-2 OS=Mus musculus OX=10090 GN=Syngr2 PE=2 SV=1","ENSMUSG00000048277"
"8437","Epc2","A2AQV0","Enhancer of polycomb homolog 2 (Fragment) OS=Mus musculus OX=10090 GN=Epc2 PE=1 SV=1",">tr|A2AQV0|A2AQV0_MOUSE Enhancer of polycomb homolog 2 (Fragment) OS=Mus musculus OX=10090 GN=Epc2 PE=1 SV=1","ENSMUSG00000069495"
"8438","Higd1b","Q99JY6","HIG1 domain family member 1B OS=Mus musculus OX=10090 GN=Higd1b PE=1 SV=1",">sp|Q99JY6|HIG1B_MOUSE HIG1 domain family member 1B OS=Mus musculus OX=10090 GN=Higd1b PE=1 SV=1","ENSMUSG00000020928"
"8439","Oog4","Q4G0C7","Oog4 protein OS=Mus musculus OX=10090 GN=Oog4 PE=2 SV=1",">tr|Q4G0C7|Q4G0C7_MOUSE Oog4 protein OS=Mus musculus OX=10090 GN=Oog4 PE=2 SV=1","ENSMUSG00000047799"
"8440","rp9","P97762","Retinitis pigmentosa 9 protein homolog OS=Mus musculus OX=10090 GN=rp9 PE=1 SV=1",">sp|P97762|RP9_MOUSE Retinitis pigmentosa 9 protein homolog OS=Mus musculus OX=10090 GN=rp9 PE=1 SV=1","ENSMUSG00000032239"
"8441","Kcp","Q3U492","Kielin/chordin-like protein OS=Mus musculus OX=10090 GN=Kcp PE=1 SV=2",">sp|Q3U492|KCP_MOUSE Kielin/chordin-like protein OS=Mus musculus OX=10090 GN=Kcp PE=1 SV=2","ENSMUSG00000059022"
"8442","Foxn3","Q499D0","Forkhead box protein N3 OS=Mus musculus OX=10090 GN=Foxn3 PE=1 SV=1",">sp|Q499D0|FOXN3_MOUSE Forkhead box protein N3 OS=Mus musculus OX=10090 GN=Foxn3 PE=1 SV=1","ENSMUSG00000033713"
"8443","Prex1","I7HPV9","Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein OS=Mus musculus OX=10090 GN=Prex1 PE=1 SV=1",">tr|I7HPV9|I7HPV9_MOUSE Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein OS=Mus musculus OX=10090 GN=Prex1 PE=1 SV=1","ENSMUSG00000039621"
"8444","Skor2","A7M7C7","SKI family transcriptional corepressor 2 OS=Mus musculus OX=10090 GN=Skor2 PE=1 SV=1",">sp|A7M7C7|SKOR2_MOUSE SKI family transcriptional corepressor 2 OS=Mus musculus OX=10090 GN=Skor2 PE=1 SV=1","ENSMUSG00000091519"
"8445","Cerkl","A2AQH1","Ceramide kinase-like OS=Mus musculus OX=10090 GN=Cerkl PE=2 SV=1",">tr|A2AQH1|A2AQH1_MOUSE Ceramide kinase-like OS=Mus musculus OX=10090 GN=Cerkl PE=2 SV=1","ENSMUSG00000075256"
"8446","Mrnip","Q9D1F5","MRN complex-interacting protein OS=Mus musculus OX=10090 GN=Mrnip PE=2 SV=1",">sp|Q9D1F5|MRNIP_MOUSE MRN complex-interacting protein OS=Mus musculus OX=10090 GN=Mrnip PE=2 SV=1","ENSMUSG00000020381"
"8447","Srrm3","Q80WV7","Serine/arginine repetitive matrix protein 3 OS=Mus musculus OX=10090 GN=Srrm3 PE=2 SV=1",">sp|Q80WV7|SRRM3_MOUSE Serine/arginine repetitive matrix protein 3 OS=Mus musculus OX=10090 GN=Srrm3 PE=2 SV=1","ENSMUSG00000039860"
"8448","Rnf41","Q8BH75","E3 ubiquitin-protein ligase NRDP1 OS=Mus musculus OX=10090 GN=Rnf41 PE=1 SV=1",">sp|Q8BH75|RNF41_MOUSE E3 ubiquitin-protein ligase NRDP1 OS=Mus musculus OX=10090 GN=Rnf41 PE=1 SV=1","ENSMUSG00000025373"
"8449","Kctd19","Q562E2","BTB/POZ domain-containing protein KCTD19 OS=Mus musculus OX=10090 GN=Kctd19 PE=1 SV=2",">sp|Q562E2|KCD19_MOUSE BTB/POZ domain-containing protein KCTD19 OS=Mus musculus OX=10090 GN=Kctd19 PE=1 SV=2","ENSMUSG00000051648"
"8450","Cdkn1c","P49919","Cyclin-dependent kinase inhibitor 1C OS=Mus musculus OX=10090 GN=Cdkn1c PE=1 SV=2",">sp|P49919|CDN1C_MOUSE Cyclin-dependent kinase inhibitor 1C OS=Mus musculus OX=10090 GN=Cdkn1c PE=1 SV=2","ENSMUSG00000037664"
"8451","Spop","Q6ZWS8","Speckle-type POZ protein OS=Mus musculus OX=10090 GN=Spop PE=1 SV=1",">sp|Q6ZWS8|SPOP_MOUSE Speckle-type POZ protein OS=Mus musculus OX=10090 GN=Spop PE=1 SV=1","ENSMUSG00000057522"
"8452","Vps13b","Q80TY5","Vacuolar protein sorting-associated protein 13B OS=Mus musculus OX=10090 GN=Vps13b PE=1 SV=3",">sp|Q80TY5|VP13B_MOUSE Vacuolar protein sorting-associated protein 13B OS=Mus musculus OX=10090 GN=Vps13b PE=1 SV=3","ENSMUSG00000037646"
"8453","","Q91Z58","Uncharacterized protein C6orf132 homolog OS=Mus musculus OX=10090 PE=1 SV=2",">sp|Q91Z58|CF132_MOUSE Uncharacterized protein C6orf132 homolog OS=Mus musculus OX=10090 PE=1 SV=2",""
"8454","Ssr2","Q9CPW5","Translocon-associated protein subunit beta OS=Mus musculus OX=10090 GN=Ssr2 PE=1 SV=1",">sp|Q9CPW5|SSRB_MOUSE Translocon-associated protein subunit beta OS=Mus musculus OX=10090 GN=Ssr2 PE=1 SV=1","ENSMUSG00000041355"
"8455","Pttg1ip","F6TFF2","Pituitary tumor-transforming gene 1 protein-interacting protein OS=Mus musculus OX=10090 GN=Pttg1ip PE=1 SV=2",">tr|F6TFF2|F6TFF2_MOUSE Pituitary tumor-transforming gene 1 protein-interacting protein OS=Mus musculus OX=10090 GN=Pttg1ip PE=1 SV=2","ENSMUSG00000009291"
"8456","Cnep1r1","Q3UJ81","Nuclear envelope phosphatase-regulatory subunit 1 OS=Mus musculus OX=10090 GN=Cnep1r1 PE=1 SV=1",">sp|Q3UJ81|NEPR1_MOUSE Nuclear envelope phosphatase-regulatory subunit 1 OS=Mus musculus OX=10090 GN=Cnep1r1 PE=1 SV=1","ENSMUSG00000036810"
"8457","Akap7","H3BJV2","A-kinase anchor protein 7 isoform alpha (Fragment) OS=Mus musculus OX=10090 GN=Akap7 PE=1 SV=1",">tr|H3BJV2|H3BJV2_MOUSE A-kinase anchor protein 7 isoform alpha (Fragment) OS=Mus musculus OX=10090 GN=Akap7 PE=1 SV=1","ENSMUSG00000039166"
"8458","Tspan6","Q99L96","Tetraspanin OS=Mus musculus OX=10090 GN=Tspan6 PE=1 SV=1",">tr|Q99L96|Q99L96_MOUSE Tetraspanin OS=Mus musculus OX=10090 GN=Tspan6 PE=1 SV=1","ENSMUSG00000067377"
"8459","Elp4","Q9ER73","Elongator complex protein 4 OS=Mus musculus OX=10090 GN=Elp4 PE=1 SV=2",">sp|Q9ER73|ELP4_MOUSE Elongator complex protein 4 OS=Mus musculus OX=10090 GN=Elp4 PE=1 SV=2","ENSMUSG00000027167"
"8460","Bst1","Q64277","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 OS=Mus musculus OX=10090 GN=Bst1 PE=1 SV=1",">sp|Q64277|BST1_MOUSE ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 OS=Mus musculus OX=10090 GN=Bst1 PE=1 SV=1",""
"8461","Habp2","E9QM92","Hyaluronan-binding protein 2 OS=Mus musculus OX=10090 GN=Habp2 PE=1 SV=1",">tr|E9QM92|E9QM92_MOUSE Hyaluronan-binding protein 2 OS=Mus musculus OX=10090 GN=Habp2 PE=1 SV=1","ENSMUSG00000025075"
"8462","Adamts6","D3Z1A5","A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6 OS=Mus musculus OX=10090 GN=Adamts6 PE=4 SV=1",">tr|D3Z1A5|D3Z1A5_MOUSE A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6 OS=Mus musculus OX=10090 GN=Adamts6 PE=4 SV=1","ENSMUSG00000046169"
"8463","Mlh1","Q9JK91","DNA mismatch repair protein Mlh1 OS=Mus musculus OX=10090 GN=Mlh1 PE=1 SV=2",">sp|Q9JK91|MLH1_MOUSE DNA mismatch repair protein Mlh1 OS=Mus musculus OX=10090 GN=Mlh1 PE=1 SV=2","ENSMUSG00000032498"
"8464","Cspg4b","F6RXI4","Chondroitin sulfate proteoglycan 4B OS=Mus musculus OX=10090 GN=Cspg4b PE=4 SV=2",">tr|F6RXI4|F6RXI4_MOUSE Chondroitin sulfate proteoglycan 4B OS=Mus musculus OX=10090 GN=Cspg4b PE=4 SV=2","ENSMUSG00000021763"
"8465","Bcl10","Q9Z0H7","B-cell lymphoma/leukemia 10 OS=Mus musculus OX=10090 GN=Bcl10 PE=1 SV=1",">sp|Q9Z0H7|BCL10_MOUSE B-cell lymphoma/leukemia 10 OS=Mus musculus OX=10090 GN=Bcl10 PE=1 SV=1","ENSMUSG00000028191"
"8466","Muc5b","E9Q5I3","Mucin 5, subtype B, tracheobronchial OS=Mus musculus OX=10090 GN=Muc5b PE=1 SV=1",">tr|E9Q5I3|E9Q5I3_MOUSE Mucin 5, subtype B, tracheobronchial OS=Mus musculus OX=10090 GN=Muc5b PE=1 SV=1","ENSMUSG00000066108"
"8467","Lcorl","A0A571BEC4","Ligand-dependent nuclear receptor corepressor-like protein OS=Mus musculus OX=10090 GN=Lcorl PE=1 SV=1",">tr|A0A571BEC4|A0A571BEC4_MOUSE Ligand-dependent nuclear receptor corepressor-like protein OS=Mus musculus OX=10090 GN=Lcorl PE=1 SV=1","ENSMUSG00000015882"
"8468","Llgl2","Q3TJ91","LLGL scribble cell polarity complex component 2 OS=Mus musculus OX=10090 GN=Llgl2 PE=1 SV=2",">sp|Q3TJ91|L2GL2_MOUSE LLGL scribble cell polarity complex component 2 OS=Mus musculus OX=10090 GN=Llgl2 PE=1 SV=2","ENSMUSG00000020782"
"8469","Fmn1","E9Q7P6","Formin-1 OS=Mus musculus OX=10090 GN=Fmn1 PE=1 SV=1",">tr|E9Q7P6|E9Q7P6_MOUSE Formin-1 OS=Mus musculus OX=10090 GN=Fmn1 PE=1 SV=1","ENSMUSG00000044042"
"8470","Cacna1a","A0A571BET0","Voltage-dependent P/Q-type calcium channel subunit alpha OS=Mus musculus OX=10090 GN=Cacna1a PE=1 SV=1",">tr|A0A571BET0|A0A571BET0_MOUSE Voltage-dependent P/Q-type calcium channel subunit alpha OS=Mus musculus OX=10090 GN=Cacna1a PE=1 SV=1","ENSMUSG00000034656"
"8471","Gm6465","F7A7Y6","Predicted gene 6465 (Fragment) OS=Mus musculus OX=10090 GN=Gm6465 PE=4 SV=1",">tr|F7A7Y6|F7A7Y6_MOUSE Predicted gene 6465 (Fragment) OS=Mus musculus OX=10090 GN=Gm6465 PE=4 SV=1","ENSMUSG00000094036"
"8472","Gm12258","Q5NC63","Predicted gene 12258 OS=Mus musculus OX=10090 GN=Gm12258 PE=1 SV=2",">tr|Q5NC63|Q5NC63_MOUSE Predicted gene 12258 OS=Mus musculus OX=10090 GN=Gm12258 PE=1 SV=2","ENSMUSG00000072915"
"8473","Kansl2","F8WJE3","KAT8 regulatory NSL complex subunit 2 OS=Mus musculus OX=10090 GN=Kansl2 PE=1 SV=1",">tr|F8WJE3|F8WJE3_MOUSE KAT8 regulatory NSL complex subunit 2 OS=Mus musculus OX=10090 GN=Kansl2 PE=1 SV=1","ENSMUSG00000022992"
"8474","Ccr2","P51683","C-C chemokine receptor type 2 OS=Mus musculus OX=10090 GN=Ccr2 PE=1 SV=2",">sp|P51683|CCR2_MOUSE C-C chemokine receptor type 2 OS=Mus musculus OX=10090 GN=Ccr2 PE=1 SV=2","ENSMUSG00000049103"
"8475","Pstpip2","Q99M15","Proline-serine-threonine phosphatase-interacting protein 2 OS=Mus musculus OX=10090 GN=Pstpip2 PE=1 SV=4",">sp|Q99M15|PPIP2_MOUSE Proline-serine-threonine phosphatase-interacting protein 2 OS=Mus musculus OX=10090 GN=Pstpip2 PE=1 SV=4","ENSMUSG00000025429"
"8476","Grin2a","P35436","Glutamate receptor ionotropic, NMDA 2A OS=Mus musculus OX=10090 GN=Grin2a PE=1 SV=2",">sp|P35436|NMDE1_MOUSE Glutamate receptor ionotropic, NMDA 2A OS=Mus musculus OX=10090 GN=Grin2a PE=1 SV=2","ENSMUSG00000059003"
"8477","Timd4","Q6U7R4","T-cell immunoglobulin and mucin domain-containing protein 4 OS=Mus musculus OX=10090 GN=Timd4 PE=1 SV=2",">sp|Q6U7R4|TIMD4_MOUSE T-cell immunoglobulin and mucin domain-containing protein 4 OS=Mus musculus OX=10090 GN=Timd4 PE=1 SV=2","ENSMUSG00000055546"
"8478","Bmp3","A0A0G2JE75","Bone morphogenetic protein 3 OS=Mus musculus OX=10090 GN=Bmp3 PE=1 SV=1",">tr|A0A0G2JE75|A0A0G2JE75_MOUSE Bone morphogenetic protein 3 OS=Mus musculus OX=10090 GN=Bmp3 PE=1 SV=1","ENSMUSG00000029335"
"8479","L1td1","Q587J6","LINE-1 type transposase domain-containing protein 1 OS=Mus musculus OX=10090 GN=L1td1 PE=2 SV=1",">sp|Q587J6|LITD1_MOUSE LINE-1 type transposase domain-containing protein 1 OS=Mus musculus OX=10090 GN=L1td1 PE=2 SV=1","ENSMUSG00000087166"
"8480","Bcl6b","O88282","B-cell CLL/lymphoma 6 member B protein OS=Mus musculus OX=10090 GN=Bcl6b PE=1 SV=1",">sp|O88282|BCL6B_MOUSE B-cell CLL/lymphoma 6 member B protein OS=Mus musculus OX=10090 GN=Bcl6b PE=1 SV=1","ENSMUSG00000000317"
"8481","Rbm18","A0A0J9YUA6","Probable RNA-binding protein 18 OS=Mus musculus OX=10090 GN=Rbm18 PE=1 SV=1",">tr|A0A0J9YUA6|A0A0J9YUA6_MOUSE Probable RNA-binding protein 18 OS=Mus musculus OX=10090 GN=Rbm18 PE=1 SV=1","ENSMUSG00000026889"
"8482","Snurf","Q9WU12","SNRPN upstream reading frame protein OS=Mus musculus OX=10090 GN=Snurf PE=1 SV=1",">sp|Q9WU12|SNURF_MOUSE SNRPN upstream reading frame protein OS=Mus musculus OX=10090 GN=Snurf PE=1 SV=1","ENSMUSG00000000948; ENSMUSG00000102627"
"8483","Jakmip3","Q5DTN8","Janus kinase and microtubule-interacting protein 3 OS=Mus musculus OX=10090 GN=Jakmip3 PE=1 SV=2",">sp|Q5DTN8|JKIP3_MOUSE Janus kinase and microtubule-interacting protein 3 OS=Mus musculus OX=10090 GN=Jakmip3 PE=1 SV=2","ENSMUSG00000056856"
"8484","Dhx38","Q80X98","RNA helicase OS=Mus musculus OX=10090 GN=Dhx38 PE=1 SV=1",">tr|Q80X98|Q80X98_MOUSE RNA helicase OS=Mus musculus OX=10090 GN=Dhx38 PE=1 SV=1","ENSMUSG00000037993"
"8485","Ebp","P70245","3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Mus musculus OX=10090 GN=Ebp PE=1 SV=3",">sp|P70245|EBP_MOUSE 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Mus musculus OX=10090 GN=Ebp PE=1 SV=3","ENSMUSG00000031168"
"8486","Jam3","Q9D8B7","Junctional adhesion molecule C OS=Mus musculus OX=10090 GN=Jam3 PE=1 SV=2",">sp|Q9D8B7|JAM3_MOUSE Junctional adhesion molecule C OS=Mus musculus OX=10090 GN=Jam3 PE=1 SV=2","ENSMUSG00000031990"
"8487","Gatad1","Q920S3","GATA zinc finger domain-containing protein 1 OS=Mus musculus OX=10090 GN=Gatad1 PE=2 SV=2",">sp|Q920S3|GATD1_MOUSE GATA zinc finger domain-containing protein 1 OS=Mus musculus OX=10090 GN=Gatad1 PE=2 SV=2","ENSMUSG00000007415"
"8488","Mfsd1","Q9DC37","Major facilitator superfamily domain-containing protein 1 OS=Mus musculus OX=10090 GN=Mfsd1 PE=1 SV=1",">sp|Q9DC37|MFSD1_MOUSE Major facilitator superfamily domain-containing protein 1 OS=Mus musculus OX=10090 GN=Mfsd1 PE=1 SV=1","ENSMUSG00000027775"
